阶段,分组,小组排名,球队,球员姓名,位置,号码,出场,进球,助攻,黄牌,红牌,出场时间(分钟),射门,射正,xG,xA,传球数,传球成功率(%),抢断,拦截,评分,扑救,扑救成功率(%),xCS,出击防守,射手榜排名,助攻榜排名,评分排名
世界杯小组赛,Group J,1,Argentina,Lionel MESSI,FW,10,3,6,0,0,0,200,15,9,3.0817,0.0,101,75.0,0,0,8.0,0,0.0,0.0,0,1,128,12
世界杯小组赛,Group I,1,France,Kylian MBAPPE,FW,10,3,4,2,0,0,264,16,9,1.7232,0.0,84,92.0,0,0,10.0,0,0.0,0.0,0,2,4,1
世界杯小组赛,Group C,1,Brazil,VINICIUS JUNIOR,FW,7,3,4,1,0,0,260,12,8,2.71,0.0,80,78.0,0,0,9.2,0,0.0,0.0,0,2,22,3
世界杯小组赛,Group I,1,France,Ousmane DEMBELE,FW,7,3,4,1,0,0,210,8,5,0.7558,0.0,119,81.0,0,0,8.83,0,0.0,0.0,0,2,22,5
世界杯小组赛,Group I,2,Norway,Erling HAALAND,FW,9,2,4,0,0,0,180,9,6,2.4313,0.0,16,56.0,0,0,8.0,0,0.0,0.0,0,2,128,12
世界杯小组赛,Group E,1,Germany,Deniz UNDAV,FW,26,3,3,2,0,0,89,5,4,1.3989,0.0,25,80.0,0,0,10.0,0,0.0,0.0,0,6,4,1
世界杯小组赛,Group I,3,Senegal,Ismaila SARR,FW,18,3,3,1,0,0,244,12,5,2.7908,0.0,50,76.0,0,0,9.2,0,0.0,0.0,0,6,22,3
世界杯小组赛,Group B,1,Switzerland,Johan MANZAMBI,MF,9,3,3,1,0,0,128,6,3,0.634,0.0,39,74.0,0,0,8.4,0,0.0,0.0,0,6,22,6
世界杯小组赛,Group L,1,England,Harry KANE,FW,9,3,3,0,0,0,263,13,6,2.1129,0.0,48,75.0,0,0,8.0,0,0.0,0.0,0,6,128,12
世界杯小组赛,Group B,2,Canada,Jonathan DAVID,FW,10,3,3,0,0,0,240,13,7,2.3863,0.0,56,75.0,0,0,8.0,0,0.0,0.0,0,6,128,12
世界杯小组赛,Group G,4,New Zealand,Elijah JUST,MF,11,3,3,0,1,0,264,7,5,0.8626,0.0,99,86.0,0,0,7.79,0,0.0,0.0,0,6,128,18
世界杯小组赛,Group K,3,Congo DR,Yoane WISSA,FW,20,3,3,0,0,0,270,9,3,1.3386,0.0,52,90.0,0,0,7.75,0,0.0,0.0,0,6,128,19
世界杯小组赛,Group C,2,Morocco,Ismael SAIBARI,MF,11,3,3,0,0,0,239,10,3,1.0078,0.0,72,83.0,0,0,7.75,0,0.0,0.0,0,6,128,19
世界杯小组赛,Group C,1,Brazil,MATHEUS CUNHA,FW,9,3,3,0,0,0,168,6,3,1.0314,0.0,63,84.0,0,0,7.75,0,0.0,0.0,0,6,128,19
世界杯小组赛,Group F,1,Netherlands,Brian BROBBEY,FW,19,3,3,0,0,0,153,4,3,1.3988,0.0,12,83.0,0,0,7.75,0,0.0,0.0,0,6,128,19
世界杯小组赛,Group F,1,Netherlands,Cody GAKPO,FW,11,3,2,1,0,0,256,9,5,1.1749,0.0,80,85.0,0,0,8.4,0,0.0,0.0,0,16,22,6
世界杯小组赛,Group H,1,Spain,Mikel OYARZABAL,FW,21,3,2,1,0,0,210,11,4,1.7045,0.0,40,73.0,0,0,8.4,0,0.0,0.0,0,16,22,6
