阶段,分组,小组排名,球队,球员姓名,位置,号码,国籍,出生日期,年龄,身高(cm),体重(kg),球员来源ID,照片URL
世界杯小组赛,Group J,3,Algeria,Melvin MASTIL,GK,1,ALG,2000/2/19,26,194,90,520070,https://digitalhub.fifa.com/transform/6d85724d-c5a6-400d-acb9-df73451a4bf4/MASTIL-Melvin_520070
世界杯小组赛,Group J,3,Algeria,Oussama BENBOT,GK,16,ALG,1994/10/11,31,188,90,477817,https://digitalhub.fifa.com/transform/884914ab-5fde-4b43-a31a-99b35849afc8/BENBOT-Oussama_477817
世界杯小组赛,Group J,3,Algeria,Luca ZIDANE,GK,23,ALG,1998/5/13,28,183,78,389879,https://digitalhub.fifa.com/transform/9a389290-d443-4b83-8e3a-70e481bca3f1/ZIDANE-Luca_389879
世界杯小组赛,Group J,3,Algeria,Aissa MANDI,DF,2,ALG,1991/10/22,34,184,81,376285,https://digitalhub.fifa.com/transform/dc4250ac-0a37-44da-9ae0-c858225ad8a1/MANDI-Aissa_376285
世界杯小组赛,Group J,3,Algeria,Achref ABADA,DF,3,ALG,1999/6/15,27,185,78,512127,https://digitalhub.fifa.com/transform/8b3d3f92-a378-40d7-92d2-85eed4a732d3/ABADA-Achraf_512127
世界杯小组赛,Group J,3,Algeria,Mohamed Amine TOUGAI,DF,4,ALG,2000/1/22,26,186,84,433600,https://digitalhub.fifa.com/transform/08ab7f46-1067-4c5a-9a23-64bda657aca0/TOUGAI-Mohamed-Amine_433600
世界杯小组赛,Group J,3,Algeria,Zineddine BELAID,DF,5,ALG,1999/3/20,27,186,83,480983,https://digitalhub.fifa.com/transform/f638bd61-6020-4634-bb13-4c19e3b209de/BELAID-Zineddine_480983
世界杯小组赛,Group J,3,Algeria,Jaouen HADJAM,DF,13,ALG,2003/3/26,23,185,83,482869,https://digitalhub.fifa.com/transform/c24e6b93-736c-41a7-be57-2e165509ce5c/HADJAM-Jaouen_482869
世界杯小组赛,Group J,3,Algeria,Rayan AIT-NOURI,DF,15,ALG,2001/6/6,25,180,80,431858,https://digitalhub.fifa.com/transform/7d7c26f5-81ee-4c6b-97b5-a8c6f67f0772/ZIZO_431858
世界杯小组赛,Group J,3,Algeria,Rafik BELGHALI,DF,17,ALG,2002/6/7,24,180,75,511009,https://digitalhub.fifa.com/transform/0007b754-4911-4f39-8c81-df2c156f7aa5/BELGHALI-Rafik_511009
世界杯小组赛,Group J,3,Algeria,Ramy BENSEBAINI,DF,21,ALG,1995/4/16,31,187,84,395113,https://digitalhub.fifa.com/transform/329752fa-e310-4124-8fb2-be7cc478b929/BENSEBAINI-Ramy_395113
世界杯小组赛,Group J,3,Algeria,Samir CHERGUI,DF,26,ALG,1999/2/6,27,185,85,511010,https://digitalhub.fifa.com/transform/5a1d62d5-a732-4036-b925-d011389a66fb/CHERGUI-Samir_511010
世界杯小组赛,Group J,3,Algeria,Ramiz ZERROUKI,MF,6,ALG,1998/5/26,28,183,82,433679,https://digitalhub.fifa.com/transform/48a3b28e-cee7-4c5b-87b9-6344b3977983/ZERROUKI-Ramiz_433679
世界杯小组赛,Group J,3,Algeria,Houssem Aouar,MF,8,ALG,1998/6/30,27,175,70,430698,https://digitalhub.fifa.com/transform/ac743888-d671-4971-9df9-594b591f2425/AOUAR-Houssem_430698
世界杯小组赛,Group J,3,Algeria,Fares CHAIBI,MF,10,ALG,2002/11/28,23,183,82,477795,https://digitalhub.fifa.com/transform/81f29a61-d5a0-466a-86dd-d52b61f29462/CHAIBI-Fares_477795
世界杯小组赛,Group J,3,Algeria,Hicham BOUDAOUI,MF,14,ALG,1999/9/23,26,175,75,441350,https://digitalhub.fifa.com/transform/76a28e94-3869-40e2-a82e-9fb973181eb6/BOUDAOUI-Hicham_441350
世界杯小组赛,Group J,3,Algeria,Nabil Bentaleb,MF,19,ALG,1994/11/24,31,189,76,379939,https://digitalhub.fifa.com/transform/02fbf423-afa1-4863-8ddc-af2136fb5685/BENTALEB-Nabil_379939
